txn_id,customer_id,payee_id,amount,hour_of_day,is_new_payee,is_new_device,is_loc_changed,valid_otp,social_scam_score,behavior_deviation,label_is_fraud,scam_scenario_id
TXN-100187,5528,PAY-6054,2263.5,15,True,False,False,True,1.9,0.76,False,0
TXN-100188,4800,PAY-5408,3210.39,15,False,False,False,True,4.26,0.75,False,0
TXN-100189,9250,PAY-5611,416.61,16,False,False,False,True,0.2,1.48,False,0
TXN-100190,1070,PAY-5837,50.0,13,False,False,False,True,4.35,0.16,False,0
TXN-100191,2384,PAY-5984,2470.68,22,False,False,False,True,0.0,0.7,False,0
TXN-100192,4567,PAY-5707,1851.82,7,True,False,False,True,0.03,1.53,False,0
TXN-100193,5985,PAY-5097,1036.16,9,False,False,False,True,0.0,0.85,False,0
TXN-100194,9898,PAY-5501,1034.32,13,False,False,False,True,0.67,0.43,False,0
TXN-100195,10551,PAY-5988,620.11,16,False,True,False,True,2.6,0.62,False,0
TXN-100196,10878,PAY-5930,2971.9,13,True,False,False,True,0.36,0.87,False,0
TXN-100197,8962,PAY-5055,3969.41,20,False,False,False,True,0.47,1.22,False,0
TXN-100198,1934,PAY-6174,2022.64,8,False,False,False,True,0.42,0.4,False,0
TXN-100199,7259,PAY-5010,6608.93,10,False,False,False,True,0.27,0.89,False,0
TXN-100200,4799,PAY-6300,14845.24,14,False,False,False,True,2.56,1.25,False,0
TXN-100201,8344,PAY-5789,3049.61,20,False,False,False,True,3.41,1.01,False,0
TXN-100202,7615,PAY-5937,5009.57,16,False,False,False,True,0.24,1.78,False,0
TXN-100203,1154,PAY-5795,1759.18,11,False,False,False,True,3.57,0.08,False,0
TXN-100204,10620,PAY-5932,1103.15,11,False,False,False,True,3.21,0.92,False,0
TXN-100205,2312,PAY-5968,50.0,7,False,True,False,True,3.68,0.81,False,0
TXN-100206,5329,PAY-6189,719.3,8,False,False,False,True,2.9,0.62,False,0
TXN-100207,8393,PAY-5683,2306.48,7,False,False,False,True,0.64,1.36,False,0
TXN-100208,5326,PAY-5697,677.2,11,True,True,False,True,0.35,2.13,False,0
TXN-100209,9739,PAY-5089,675.46,13,False,False,False,True,0.1,1.23,False,0
TXN-100210,4559,PAY-5240,836.23,12,False,False,False,True,0.85,1.47,False,0
TXN-100211,6586,PAY-5593,1169.4,21,False,False,False,True,2.14,0.79,False,0
TXN-100212,10563,PAY-5738,696.82,18,False,False,False,True,0.08,1.27,False,0
TXN-100213,8821,PAY-5847,2973.04,18,False,False,False,True,1.2,1.03,False,0
TXN-100214,10440,PAY-5969,546.3,7,False,False,False,True,0.23,1.41,False,0
TXN-100215,6753,PAY-5857,2808.1,9,False,False,False,True,0.11,1.21,False,0
TXN-100216,8470,PAY-5311,2616.68,15,False,False,False,True,0.33,0.9,False,0
TXN-100217,9306,PAY-5692,1498.36,20,False,False,True,True,3.55,0.78,False,0
TXN-100218,4330,PAY-6188,2074.96,18,True,False,False,True,2.86,1.21,False,0
TXN-100219,7230,PAY-6083,1139.67,15,False,False,True,True,4.53,2.28,False,0
TXN-100220,8109,PAY-5777,179.99,17,False,False,False,True,1.08,1.26,False,0
TXN-100221,7681,PAY-5139,5551.18,15,False,False,False,True,1.11,1.11,False,0
TXN-100222,9977,PAY-5976,967.64,15,True,False,False,True,0.98,0.31,False,0
TXN-100223,8221,PAY-5935,395.44,11,False,False,False,True,0.16,0.92,False,0
TXN-100224,4361,PAY-6167,1020.77,17,False,False,False,True,3.71,0.79,False,0
TXN-100225,4651,PAY-6018,2513.82,7,False,False,False,True,1.48,0.85,False,0
TXN-100226,8276,PAY-5143,1208.64,20,False,False,False,True,1.86,0.81,False,0
TXN-100227,4906,PAY-5733,2265.07,8,True,False,False,True,0.75,0.99,False,0
TXN-100228,4071,PAY-5067,4556.3,16,False,False,False,True,2.73,0.17,False,0
TXN-100229,3752,PAY-5589,2441.48,19,False,False,False,True,5.32,1.39,False,0
TXN-100230,4963,PAY-5107,1629.57,9,False,False,False,True,0.48,1.18,False,0
TXN-100231,4765,PAY-5517,523.04,7,False,True,False,True,2.7,-0.01,False,0
TXN-100232,1452,PAY-5774,2217.28,18,False,False,False,True,0.39,0.27,False,0
TXN-100233,1038,PAY-5817,3139.79,14,False,False,False,True,3.39,0.91,False,0
TXN-100234,8171,PAY-6102,21929.93,12,False,False,False,True,1.26,1.14,False,0
TXN-100235,6006,PAY-5186,3235.53,8,True,False,False,True,1.26,1.09,False,0
TXN-100236,1796,PAY-5068,1788.16,8,False,False,False,True,1.04,1.39,False,0
TXN-100237,9701,PAY-6139,5074.45,16,False,False,False,True,0.53,0.7,False,0
TXN-100238,6582,PAY-5503,2795.13,8,True,False,False,True,0.38,0.97,False,0
TXN-100239,9525,PAY-5021,1378.23,17,False,False,False,True,1.27,2.56,False,0
TXN-100240,3346,PAY-6085,821.21,7,False,False,False,True,2.53,1.16,False,0
TXN-100241,7721,PAY-5620,971.1,22,False,False,False,True,0.03,1.57,False,0
TXN-100242,8859,PAY-6142,777.93,8,False,False,False,True,6.95,1.62,False,0
TXN-100243,8318,PAY-6115,732.06,7,False,False,False,True,0.14,0.3,False,0
TXN-100244,10669,PAY-5267,4851.51,12,False,False,False,True,6.26,0.69,False,0
TXN-100245,8874,PAY-5071,1591.87,22,False,False,False,True,5.64,1.87,False,0
TXN-100246,6342,PAY-6148,2641.24,17,False,False,False,True,0.1,0.64,False,0
TXN-100247,10698,PAY-6182,1571.06,15,False,False,False,True,1.13,1.15,False,0
TXN-100248,9594,PAY-5992,5712.67,17,False,False,False,True,4.31,1.54,False,0
TXN-100249,2250,PAY-5516,2282.76,12,False,False,False,True,0.05,0.19,False,0
TXN-100250,7697,PAY-5356,5560.34,8,False,False,False,True,0.54,0.38,False,0
TXN-100251,10461,PAY-5804,6753.69,8,False,False,True,True,0.86,1.0,False,0
TXN-100252,4190,PAY-5375,4972.29,9,False,False,False,True,3.02,1.78,False,0
TXN-100253,1318,PAY-5664,611.51,20,True,True,False,True,1.47,0.9,False,0
TXN-100254,6116,PAY-5694,635.73,19,False,False,True,True,4.74,0.76,False,0
TXN-100255,3609,PAY-5008,1003.14,8,True,False,False,True,0.79,1.27,False,0
TXN-100256,7006,PAY-5557,6406.73,10,True,False,False,True,2.96,1.45,False,0
TXN-100257,3253,PAY-5140,1296.22,7,True,False,False,True,0.04,0.29,False,0
TXN-100258,3157,PAY-5956,2421.51,9,False,False,False,True,1.66,1.06,False,0
TXN-100259,6825,PAY-5351,1295.62,7,False,False,False,True,0.01,0.83,False,0
TXN-100260,5519,PAY-5350,3134.43,10,False,False,False,True,1.0,1.32,False,0
TXN-100261,1908,PAY-5986,1673.04,8,False,False,False,True,0.01,0.08,False,0
TXN-100262,9895,PAY-5387,1468.53,9,False,False,False,True,0.01,0.61,False,0
TXN-100263,9085,PAY-5291,713.48,14,False,False,False,True,0.01,1.35,False,0
TXN-100264,9764,PAY-5022,748.29,17,False,False,False,True,1.18,1.22,False,0
TXN-100265,6499,PAY-5913,207.85,9,False,False,False,True,0.01,0.77,False,0
TXN-100266,8954,PAY-5155,114.64,20,False,False,False,True,0.1,0.89,False,0
TXN-100267,2634,PAY-6272,609.53,13,False,True,False,True,2.71,2.07,False,0
TXN-100268,2751,PAY-6159,2069.31,19,False,False,False,True,0.2,0.67,False,0
TXN-100269,8920,PAY-5271,6956.85,20,True,False,False,True,1.23,1.92,False,0
TXN-100270,3142,PAY-5095,3396.1,15,True,False,False,True,0.04,0.34,False,0
TXN-100271,6781,PAY-5259,1552.0,22,False,False,False,True,0.0,0.75,False,0
TXN-100272,8373,PAY-5008,170.46,20,False,False,False,True,0.75,0.78,False,0
TXN-100273,8809,PAY-6200,5567.59,8,False,False,False,True,2.2,0.87,False,0
TXN-100274,6631,PAY-6097,2501.09,16,False,False,False,True,0.11,1.16,False,0
TXN-100275,6288,PAY-5256,1046.02,7,True,False,False,True,0.26,0.99,False,0
TXN-100276,8269,PAY-5171,981.07,18,False,False,True,True,0.17,1.24,False,0
TXN-100277,8646,PAY-5685,1557.66,7,False,False,False,True,0.95,1.12,False,0
TXN-100278,2814,PAY-5635,1078.2,10,False,False,False,True,0.07,0.62,False,0
TXN-100279,4904,PAY-6194,919.86,10,False,False,False,True,0.91,1.19,False,0
TXN-100280,2307,PAY-6060,5491.02,11,False,False,False,True,3.08,0.42,False,0
TXN-100281,5922,PAY-6178,2069.05,17,False,False,False,True,0.39,1.31,False,0
TXN-100282,8366,PAY-5483,1321.23,19,False,False,False,True,1.08,0.82,False,0
TXN-100283,8555,PAY-5984,653.41,11,False,False,False,True,0.62,1.7,False,0
TXN-100284,6009,PAY-5405,3659.27,19,False,False,False,True,0.11,1.17,False,0
TXN-100285,8577,PAY-6063,1852.44,17,False,False,False,True,2.51,2.14,False,0
TXN-100286,6930,PAY-5976,6228.04,13,True,False,False,True,0.12,1.0,False,0
TXN-100287,6037,PAY-5457,1329.02,21,False,False,False,True,1.75,0.61,False,0
TXN-100288,3568,PAY-6257,1024.71,13,False,True,False,True,0.15,0.8,False,0
TXN-100289,5428,PAY-6094,594.34,16,False,False,False,True,2.18,1.95,False,0
TXN-100290,8716,PAY-6191,952.87,15,False,False,False,True,0.01,1.13,False,0
TXN-100291,1817,PAY-6163,1007.86,13,False,False,False,True,5.76,1.18,False,0
TXN-100292,6806,PAY-5990,1343.02,8,False,False,False,True,0.01,0.56,False,0
TXN-100293,3750,PAY-5831,1156.14,7,False,False,False,True,0.3,1.45,False,0
TXN-100294,3268,PAY-5258,2788.27,12,False,False,False,True,0.32,0.42,False,0
TXN-100295,4618,PAY-5845,25142.75,22,False,False,False,True,0.05,0.92,False,0
TXN-100296,2385,PAY-5550,3310.95,20,False,False,False,True,0.04,0.38,False,0
TXN-100297,2643,PAY-5681,7432.77,7,True,False,False,True,0.04,1.01,False,0
TXN-100298,2863,PAY-5943,122.08,19,False,False,False,True,1.22,0.21,False,0
TXN-100299,2079,PAY-5530,1496.65,7,False,False,False,True,3.58,1.88,False,0
TXN-100300,1209,PAY-5024,501.55,10,False,False,False,True,2.97,1.79,False,0
TXN-100301,4650,PAY-5446,4744.21,21,False,False,False,True,0.8,-0.03,False,0
TXN-100302,5472,PAY-5919,4335.32,10,False,False,False,True,0.78,0.8,False,0
TXN-100303,4971,PAY-5662,1912.32,22,False,False,False,True,0.43,1.15,False,0
TXN-100304,8886,PAY-5977,5253.19,8,False,False,False,True,3.32,1.47,False,0
TXN-100305,10751,PAY-5041,986.48,10,False,False,False,True,3.1,1.56,False,0
TXN-100306,3680,PAY-5617,2440.38,17,False,False,False,True,0.37,0.82,False,0
TXN-100307,1174,PAY-5088,2618.65,17,False,False,False,True,0.0,0.81,False,0
TXN-100308,10416,PAY-5078,3451.34,9,False,False,False,True,1.17,1.3,False,0
TXN-100309,8427,PAY-5833,3853.36,11,True,False,False,True,0.62,0.75,False,0
TXN-100310,3387,PAY-5925,3282.29,9,False,False,False,True,4.44,1.26,False,0
TXN-100311,6323,PAY-5652,1012.7,8,False,False,False,True,0.97,0.73,False,0
TXN-100312,5656,PAY-5361,3656.29,15,False,False,False,True,0.14,1.17,False,0
TXN-100313,10809,PAY-5295,3776.16,16,False,False,False,True,3.94,0.98,False,0
TXN-100314,8257,PAY-5745,5768.63,18,False,False,False,True,1.1,0.61,False,0
TXN-100315,4219,PAY-5627,2392.89,18,False,False,False,True,1.74,0.77,False,0
TXN-100316,1315,PAY-5568,2273.39,8,False,False,False,True,0.42,0.68,False,0
